MAC,ECH,LOX,PRO,CHO,DAS,OCH,ORY,CAV,RAT,MUS,SPE,DIP,TUP,CAL,NEW,TAR,MIC,OTO,FEL,MYO,PTE,BOS,TUR,CAN,EQU,PON,PAN,HOM,GOR,SOR,VIC,SUS,ERI,MON,ORN,GAL
0,0.14971,?,0.11481,?,0.13104,0.12809,?,0.11929,0.13691,?,0.09246,?,0.09963,0.08247,0.07828,0.10537,0.08989,0.0871,?,0.11824,0.11146,?,?,?,0.09879,0.13566,0.14945,?,?,0.09973,0.07991,?,0.14676,?,?,?
0.14971,0,0.12746,0.13599,0.19277,0.19554,0.22511,0.17054,0.20443,0.23191,0.20696,0.17708,0.20917,0.18395,0.18503,0.17962,0.20956,0.19895,0.18732,0.16503,0.20484,0.2097,0.24432,0.21309,0.17196,0.18922,0.21991,0.24833,0.27426,0.26328,0.21118,0.18591,0.16636,0.22446,0.20131,0.22092,0.22337
?,0.12746,0,?,0.15473,?,?,0.13203,?,0.19708,0.18002,?,0.16804,?,?,0.15997,0.19331,0.17649,?,0.15383,?,?,0.21965,0.18527,0.14604,?,?,0.22305,0.23688,0.21943,?,?,0.15218,0.22853,0.17452,0.20006,0.21796
0.11481,0.13599,?,0,?,0.18269,0.18202,?,0.15105,0.18596,?,0.1397,?,0.14438,0.1308,0.1278,0.15692,0.1452,0.13744,?,0.17534,0.18286,?,?,?,0.15437,0.19785,0.20966,?,?,0.1619,0.14006,?,0.18491,?,?,?
?,0.19277,0.15473,?,0,?,?,0.12575,?,0.17945,0.17518,?,0.1547,?,?,0.15135,0.17767,0.16501,?,0.13442,?,?,0.21545,0.20268,0.1365,?,?,0.20675,0.2149,0.20656,?,?,0.14026,0.2029,0.18636,0.19674,0.22103
0.13104,0.19554,?,0.18269,?,0,0.19518,?,0.17937,0.20251,?,0.1547,?,0.16458,0.17114,0.15849,0.17222,0.18007,0.17379,?,0.19025,0.19906,?,?,?,0.17329,0.21116,0.22069,?,?,0.1756,0.1569,?,0.22042,?,?,?
0.12809,0.22511,?,0.18202,?,0.19518,0,?,0.14456,0.17471,?,0.13167,?,0.12843,0.15586,0.14642,0.16829,0.1519,0.13893,?,0.17943,0.1775,?,?,?,0.18621,0.1815,0.19307,?,?,0.17691,0.16786,?,0.21143,?,?,?
?,0.17054,0.13203,?,0.12575,?,?,0,?,0.12632,0.11041,?,0.09321,?,?,0.08843,0.1058,0.09597,?,0.08561,?,?,0.16899,0.13718,0.0888,?,?,0.16244,0.17299,0.1578,?,?,0.1016,0.15598,0.13768,0.17032,0.16968
0.11929,0.20443,?,0.15105,?,0.17937,0.14456,?,0,0.14776,?,0.10327,?,0.10679,0.14211,0.13879,0.1481,0.15525,0.14227,?,0.17601,0.17358,?,?,?,0.163,0.19093,0.19539,?,?,0.17592,0.15488,?,0.19426,?,?,?
0.13691,0.23191,0.19708,0.18596,0.17945,0.20251,0.17471,0.12632,0.14776,0,0.09519,0.12658,0.17731,0.13313,0.15726,0.15377,0.16294,0.16233,0.16095,0.15893,0.20989,0.20503,0.23567,0.20631,0.1591,0.18274,0.20708,0.20488,0.22454,0.19893,0.18336,0.16329,0.17134,0.22346,0.18744,0.23057,0.23686
?,0.20696,0.18002,?,0.17518,?,?,0.11041,?,0.09519,0,?,0.1504,?,?,0.15083,0.16243,0.14536,?,0.13139,?,?,0.21447,0.20011,0.14069,?,?,0.19979,0.21112,0.19798,?,?,0.14857,0.1995,0.18492,0.21979,0.22053
0.09246,0.17708,?,0.1397,?,0.1547,0.13167,?,0.10327,0.12658,?,0,?,0.09854,0.11429,0.1085,0.12786,0.12517,0.11457,?,0.16156,0.16392,?,?,?,0.14093,0.16321,0.1711,?,?,0.1465,0.1329,?,0.19515,?,?,?
?,0.20917,0.16804,?,0.1547,?,?,0.09321,?,0.17731,0.1504,?,0,?,?,0.13798,0.14861,0.14634,?,0.12692,?,?,0.20214,0.18588,0.13855,?,?,0.2107,0.22404,0.20875,?,?,0.14716,0.21523,0.18981,0.20338,0.22838
0.09963,0.18395,?,0.14438,?,0.16458,0.12843,?,0.10679,0.13313,?,0.09854,?,0,0.11689,0.10519,0.1139,0.1112,0.10834,?,0.14653,0.14941,?,?,?,0.14382,0.15342,0.16282,?,?,0.14466,0.13559,?,0.18541,?,?,?
0.08247,0.18503,?,0.1308,?,0.17114,0.15586,?,0.14211,0.15726,?,0.11429,?,0.11689,0,0.04259,0.09815,0.07546,0.07125,?,0.13731,0.1333,?,?,?,0.12618,0.16463,0.17715,?,?,0.1427,0.12483,?,0.18017,?,?,?
0.07828,0.17962,0.15997,0.1278,0.15135,0.15849,0.14642,0.08843,0.13879,0.15377,0.15083,0.1085,0.13798,0.10519,0.04259,0,0.088,0.07261,0.05609,0.11602,0.14086,0.13834,0.19644,0.15661,0.10885,0.1204,0.15856,0.1773,0.19123,0.17859,0.13061,0.11895,0.12829,0.17561,0.16222,0.17663,0.19886
0.10537,0.20956,0.19331,0.15692,0.17767,0.17222,0.16829,0.1058,0.1481,0.16294,0.16243,0.12786,0.14861,0.1139,0.09815,0.088,0,0.09423,0.0983,0.13288,0.15062,0.1547,0.21171,0.18506,0.12573,0.151,0.18607,0.20192,0.22535,0.20164,0.15351,0.12911,0.14205,0.19319,0.1776,0.21263,0.22468
